,steps,score
0,348,5.0
1,348,5.0
2,348,5.0
3,348,5.0
4,348,5.0
5,348,5.0
6,348,5.0
7,348,5.0
8,348,5.0
9,348,5.0
10,349,5.0
11,348,5.0
12,348,5.0
13,348,5.0
14,348,5.0
15,348,5.0
16,348,5.0
17,348,5.0
18,349,5.0
19,349,5.0
